season,holiday,workingday,weather,temp,atemp,humidity,windspeed,count,year,month,day,wday,hour
spring,no,yes,clear,8.2,9.09,32,26.0027,5.03043792139244,2011,2,8,3,18
summer,no,yes,lightRainOrSnow,26.24,28.79,89,19.0012,4.83628190695148,2012,6,12,3,10
summer,no,no,clear,22.14,25.76,56,15.0013,5.52942908751142,2012,4,15,1,9
winter,no,no,clear,21.32,25,29,19.0012,5.95842469302978,2011,11,12,7,15
summer,no,yes,cloudy,27.88,31.82,89,15.0013,1.6094379124341,2011,6,1,4,4
spring,no,no,clear,8.2,8.335,32,32.9975,4.56434819146784,2011,1,8,7,14
winter,no,yes,clear,8.2,11.365,75,6.0032,2.39789527279837,2012,12,14,6,4
spring,no,no,lightRainOrSnow,18.04,21.97,100,15.0013,2.07944154167984,2011,3,6,1,15
winter,no,no,clear,16.4,20.455,58,12.998,5.32300997913841,2012,10,13,7,21
fall,no,no,lightRainOrSnow,23.78,27.275,83,8.9981,5.12396397940326,2012,9,8,7,18
winter,no,no,clear,20.5,24.24,29,23.9994,5.06259503302697,2011,11,13,1,19
winter,no,yes,clear,13.94,15.91,61,15.0013,5.12989871492307,2012,12,19,4,21
spring,yes,no,cloudy,7.38,9.85,43,8.9981,1.38629436111989,2011,1,17,2,4
winter,no,no,clear,21.32,25,77,0,5.23644196282995,2011,10,8,7,21
spring,no,no,clear,14.76,18.18,50,7.0015,3.66356164612965,2012,1,7,7,2
spring,no,yes,clear,11.48,12.12,45,32.9975,4.52178857704904,2011,2,2,4,19
summer,no,yes,clear,17.22,21.21,47,8.9981,2.63905732961526,2011,4,7,5,1
summer,no,yes,clear,21.32,25,59,12.998,5.51745289646471,2012,4,19,5,22
spring,no,no,clear,13.94,16.665,42,8.9981,3.49650756146648,2012,1,8,1,3
fall,no,yes,lightRainOrSnow,27.88,31.82,83,30.0026,4.89034912822175,2011,7,8,6,16
spring,no,no,clear,8.2,8.335,32,30.0026,4.31748811353631,2011,1,8,7,15
summer,no,no,clear,22.14,25.76,68,8.9981,2.89037175789616,2012,6,17,1,5
winter,no,yes,cloudy,14.76,17.425,53,11.0014,5.52942908751142,2011,12,19,2,19
summer,no,yes,cloudy,29.52,33.335,48,7.0015,5.61677109766657,2012,5,16,4,15
winter,no,yes,clear,13.12,16.665,31,8.9981,5.93753620508243,2011,11,18,6,17
summer,no,yes,clear,18.86,22.725,31,12.998,1.94591014905531,2012,4,9,2,2
spring,no,no,clear,11.48,14.395,61,7.0015,3.29583686600433,2011,2,6,1,20
summer,no,no,clear,17.22,21.21,67,6.0032,3.52636052461616,2012,5,12,7,6
summer,no,yes,clear,16.4,20.455,50,8.9981,4.91998092582813,2012,4,5,5,23
spring,no,yes,clear,7.38,9.85,74,8.9981,5.43372200355424,2011,3,4,6,8
fall,no,yes,clear,29.52,33.335,51,11.0014,5.76519110278484,2012,7,12,5,22
summer,no,yes,clear,24.6,30.305,23,22.0028,5.70044357339069,2012,4,4,4,21
winter,no,yes,cloudy,13.94,15.91,66,15.0013,6.12686918411419,2011,12,15,5,8
winter,no,yes,cloudy,16.4,20.455,40,32.9975,5.57215403217776,2012,11,2,6,14
winter,no,yes,cloudy,20.5,24.24,77,11.0014,5.96100533962327,2012,10,18,5,9
winter,no,no,clear,18.86,22.725,40,27.9993,5.69035945432406,2011,11,13,1,11
winter,no,no,clear,9.02,11.365,55,12.998,4.66343909411207,2011,12,11,1,19
summer,no,no,clear,22.14,25.76,24,16.9979,6.12686918411419,2012,4,8,1,12
winter,no,no,clear,9.02,13.635,64,0,4.49980967033027,2011,12,18,1,21
winter,no,yes,clear,12.3,13.635,52,22.0028,5.41610040220442,2011,12,1,5,9
spring,no,no,clear,18.86,22.725,33,27.9993,5.59098698051086,2011,3,19,7,12
fall,no,no,cloudy,29.52,34.85,79,23.9994,6.34035930372775,2012,7,14,7,16
summer,no,yes,clear,25.42,30.305,23,15.0013,5.81413053182507,2012,5,11,6,14
fall,no,yes,clear,30.34,34.09,55,11.0014,6.44888939414686,2012,7,9,2,19
winter,no,yes,cloudy,24.6,28.79,78,19.0012,5.2257466737132,2012,10,15,2,14
winter,no,yes,clear,9.84,11.365,44,15.0013,2.39789527279837,2011,11,18,6,2
spring,no,yes,clear,4.92,7.575,93,8.9981,2.83321334405622,2011,1,12,4,6
winter,yes,no,cloudy,22.14,25.76,88,7.0015,4.33073334028633,2011,10,10,2,23
winter,no,yes,lightRainOrSnow,19.68,23.485,48,16.9979,5.74939298590825,2012,12,18,3,12
fall,no,no,clear,22.14,25.76,64,0,5.02388052084628,2012,9,16,1,0
fall,no,yes,clear,30.34,33.335,48,12.998,5.93224518744801,2011,8,16,3,19
fall,no,no,clear,29.52,34.85,79,8.9981,5.8636311755981,2012,7,14,7,18
fall,no,no,clear,29.52,34.85,79,8.9981,4.52178857704904,2012,7,15,1,23
winter,no,yes,clear,18.86,22.725,38,26.0027,6.73101810048208,2012,10,12,6,17
spring,no,yes,lightRainOrSnow,13.94,16.665,87,12.998,3.91202300542815,2012,1,11,4,22
winter,yes,no,clear,13.94,17.425,76,7.0015,4.0943445622221,2012,10,8,2,6
summer,no,yes,clear,28.7,31.82,42,16.9979,5.97635090929793,2012,6,15,6,13
summer,no,yes,clear,37.72,43.94,40,12.998,4.77912349311153,2011,6,9,5,14
summer,no,yes,clear,18.04,21.97,72,16.9979,4.49980967033027,2011,5,9,2,6
summer,no,yes,cloudy,16.4,20.455,94,19.9995,4.00733318523247,2011,4,12,3,22
fall,no,yes,cloudy,28.7,33.335,79,8.9981,4.77912349311153,2011,8,3,4,15
fall,no,no,cloudy,26.24,30.305,69,15.0013,3.73766961828337,2011,9,3,7,2
summer,no,yes,clear,29.52,32.575,30,32.9975,5.97380961186926,2012,6,13,4,16
fall,yes,no,clear,37.72,42.425,35,16.9979,5.96614673912369,2012,7,4,4,16
summer,no,yes,cloudy,28.7,32.575,58,35.0008,5.06890420222023,2011,5,3,3,14
winter,no,yes,lightRainOrSnow,11.48,13.635,65,15.0013,3.71357206670431,2012,11,7,4,23
spring,no,yes,clear,10.66,11.365,33,22.0028,3.85014760171006,2011,1,5,4,11
winter,no,yes,clear,18.04,21.97,82,7.0015,4.77068462446567,2011,10,5,4,6
spring,no,yes,clear,4.92,6.06,50,15.0013,1.38629436111989,2011,1,10,2,2
winter,no,no,cloudy,13.94,18.18,87,0,2.30258509299405,2012,12,16,1,5
summer,no,yes,clear,22.14,25.76,60,8.9981,5.91620206260743,2011,6,15,4,7
spring,no,yes,clear,16.4,20.455,62,8.9981,4.89783979995091,2012,2,1,4,10
winter,no,no,clear,16.4,20.455,40,22.0028,6.07764224334903,2012,11,4,1,16
summer,no,no,clear,26.24,31.06,38,7.0015,5.76205138278018,2011,6,4,7,10
winter,no,no,clear,14.76,17.425,66,11.0014,5.35185813347607,2012,11,18,1,19
fall,no,yes,cloudy,21.32,25,77,8.9981,6.04263283368238,2011,9,19,2,8
winter,no,yes,cloudy,16.4,20.455,66,6.0032,5.03695260241363,2011,10,3,2,9
winter,no,yes,cloudy,10.66,13.635,65,7.0015,2.83321334405622,2012,11,15,5,1
spring,no,yes,clear,15.58,19.695,54,12.998,3.2188758248682,2012,3,12,2,0
fall,no,yes,clear,21.32,25,72,6.0032,3.09104245335832,2012,9,17,2,1
spring,no,yes,clear,13.12,15.91,57,12.998,4.77912349311153,2012,2,7,3,22
summer,no,yes,clear,19.68,23.485,31,16.9979,6.19031540585315,2012,4,5,5,19
winter,no,no,clear,22.14,25.76,45,11.0014,6.20253551718792,2012,11,11,1,17
winter,no,yes,cloudy,21.32,25,88,6.0032,5.8664680569333,2011,10,11,3,7
spring,no,yes,clear,11.48,11.365,30,35.0008,5.17614973257383,2012,1,18,4,16
winter,yes,no,clear,29.52,32.575,37,0,5.90263333340137,2011,10,10,2,13
winter,no,yes,lightRainOrSnow,12.3,13.635,75,26.0027,4.55387689160054,2012,11,13,3,10
summer,no,yes,clear,18.04,21.97,44,30.0026,5.64190707093811,2012,4,2,2,12
spring,no,yes,clear,13.94,15.91,19,15.0013,4.38202663467388,2011,2,15,3,14
summer,no,yes,cloudy,27.06,30.305,78,19.0012,5.32300997913841,2012,6,1,6,10
fall,no,yes,clear,28.7,32.575,58,11.0014,6.09582456243222,2011,9,1,5,19
winter,no,yes,clear,21.32,25,83,0,4.92725368515721,2012,10,5,6,6
fall,no,yes,lightRainOrSnow,27.88,31.82,79,0,5.01727983681492,2011,8,3,4,16
spring,no,yes,clear,10.66,10.605,48,30.0026,4.11087386417331,2011,3,7,2,11
spring,no,no,cloudy,13.12,15.15,66,15.0013,5.72358510195238,2012,2,4,7,15
spring,no,yes,clear,22.96,26.515,46,11.0014,6.26720054854136,2012,2,1,4,18
summer,no,no,cloudy,30.34,33.335,51,7.0015,5.78996017089725,2011,6,18,7,19
summer,no,yes,clear,18.86,22.725,59,6.0032,2.77258872223978,2011,5,10,3,1
winter,no,yes,cloudy,13.12,17.425,57,0,4.96284463025991,2011,12,14,4,10
fall,no,yes,cloudy,32.8,39.395,63,23.9994,4.95582705760126,2011,7,8,6,15
winter,no,yes,cloudy,14.76,17.425,53,8.9981,4.85203026391962,2011,12,19,2,21
summer,no,no,clear,18.04,21.97,67,11.0014,4.04305126783455,2011,4,17,1,23
winter,no,yes,clear,8.2,12.88,80,0,1.6094379124341,2011,12,13,3,1
summer,no,no,clear,24.6,31.06,35,19.0012,6.07993319509559,2011,5,7,7,13
fall,no,no,clear,24.6,31.06,46,15.0013,5.33271879326537,2012,9,9,1,21
winter,no,yes,clear,18.04,21.97,41,31.0009,5.89715386763674,2012,12,18,3,16
spring,yes,no,cloudy,7.38,8.335,43,16.9979,2.19722457733622,2011,1,17,2,2
winter,no,yes,cloudy,12.3,14.395,52,15.0013,4.81218435537242,2012,12,12,4,22
fall,no,yes,clear,27.06,29.545,89,0,0.693147180559945,2011,8,8,2,3
winter,no,yes,clear,24.6,31.06,49,26.0027,5.31811999384422,2011,11,14,2,13
spring,no,yes,clear,13.12,16.665,36,8.9981,4.38202663467388,2011,3,1,3,14
summer,no,no,clear,20.5,24.24,34,26.0027,5.8406416573734,2011,4,17,1,13
summer,no,no,clear,24.6,31.06,53,19.9995,5.21493575760899,2012,6,16,7,23
fall,no,no,cloudy,27.06,31.06,36,16.9979,6.59304453414244,2012,9,15,7,17
summer,no,no,cloudy,14.76,16.665,76,16.9979,4.21950770517611,2012,4,1,1,0
fall,no,yes,cloudy,27.06,31.06,65,11.0014,3.2188758248682,2011,8,18,5,1
fall,no,yes,cloudy,21.32,25,45,0,5.52942908751142,2011,9,16,6,12
spring,no,yes,clear,16.4,20.455,28,35.0008,5.01727983681492,2011,3,2,4,19
summer,no,no,cloudy,14.76,18.18,93,7.0015,1.79175946922805,2011,4,10,1,4
spring,no,no,clear,23.78,27.275,37,19.9995,6.10924758276437,2012,1,7,7,15
winter,no,no,clear,20.5,24.24,51,8.9981,5.47646355193151,2011,10,15,7,19
spring,no,yes,clear,8.2,11.365,47,6.0032,4.70048036579242,2011,2,3,5,20
winter,no,yes,clear,13.94,15.15,66,27.9993,5.9427993751267,2012,12,11,3,7
winter,no,no,cloudy,15.58,19.695,87,12.998,5.4510384535657,2012,12,9,1,14
summer,no,yes,cloudy,17.22,21.21,77,0,1.6094379124341,2012,4,19,5,3
spring,no,yes,clear,5.74,6.06,50,22.0028,1.38629436111989,2011,1,13,5,3
spring,no,no,cloudy,13.12,15.15,39,16.9979,4.29045944114839,2012,2,19,1,1
summer,no,yes,cloudy,17.22,21.21,71,0,1.6094379124341,2012,4,19,5,4
fall,no,no,cloudy,30.34,34.85,66,6.0032,6.21460809842219,2012,7,14,7,12
summer,no,yes,clear,18.86,22.725,94,12.998,0.693147180559945,2011,4,11,2,4
summer,no,yes,clear,22.14,25.76,52,27.9993,5.84932477994686,2012,5,17,5,9
winter,no,no,clear,14.76,18.18,66,6.0032,5.57215403217776,2011,11,6,1,10
spring,no,yes,clear,27.06,31.06,44,19.0012,6.61606518513282,2012,3,15,5,18
spring,no,yes,clear,6.56,9.09,86,7.0015,5.45958551414416,2012,2,6,2,7
winter,no,yes,cloudy,10.66,12.12,56,16.9979,2.19722457733622,2012,12,13,5,2
spring,no,yes,cloudy,14.76,17.425,81,8.9981,4.33073334028633,2011,3,16,4,11
spring,no,yes,clear,9.02,9.09,32,39.0007,5.17614973257383,2011,2,8,3,17
summer,no,yes,clear,17.22,21.21,67,12.998,5.76832099579377,2012,4,10,3,9
winter,no,yes,clear,13.94,17.425,39,7.0015,6.00881318544259,2012,12,13,5,16
summer,no,yes,clear,19.68,23.485,31,16.9979,5.35658627467201,2012,4,12,5,15
summer,no,yes,lightRainOrSnow,13.94,15.15,93,23.9994,3.97029191355212,2011,5,4,4,7
summer,no,no,clear,27.88,31.82,74,6.0032,4.29045944114839,2011,6,19,1,2
winter,no,yes,clear,18.86,22.725,63,8.9981,4.99721227376411,2011,11,8,3,11
fall,no,yes,clear,32.8,37.12,49,7.0015,5.91889385427315,2011,8,9,3,19
winter,yes,no,clear,17.22,21.21,82,11.0014,6.29341927884648,2012,11,12,2,8
spring,no,yes,cloudy,5.74,8.335,63,7.0015,0.693147180559945,2011,2,4,6,3
summer,no,yes,cloudy,17.22,21.21,77,12.998,6.19236248947487,2012,4,18,4,17
fall,no,no,clear,31.98,34.85,46,19.9995,5.67332326717149,2011,7,9,7,11
fall,no,yes,cloudy,27.88,31.82,65,11.0014,6.12249280951439,2011,9,2,6,17
fall,no,yes,clear,31.98,34.09,29,6.0032,6.3491389913798,2011,8,11,5,18
winter,no,yes,clear,22.14,25.76,64,11.0014,5.42934562895444,2011,10,18,3,20
winter,no,yes,clear,24.6,31.06,56,19.0012,6.11146733950268,2012,10,18,5,16
summer,no,yes,clear,18.04,21.97,33,19.9995,5.73009978297357,2012,4,11,4,16
winter,no,yes,clear,10.66,12.12,65,16.9979,4.85203026391962,2011,12,19,2,11
spring,no,no,clear,13.12,14.395,31,35.0008,4.92725368515721,2011,2,12,7,17
fall,no,no,lightRainOrSnow,29.52,34.85,74,19.9995,5.26785815906333,2011,8,7,1,16
winter,no,yes,clear,14.76,18.18,76,6.0032,3.46573590279973,2011,11,3,5,0
winter,no,no,clear,13.12,15.91,61,11.0014,5.61312810638807,2012,12,15,7,10
winter,no,yes,clear,13.94,15.15,42,19.9995,5.08759633523238,2012,11,8,5,22
spring,no,yes,cloudy,14.76,18.18,57,6.0032,4.11087386417331,2011,2,7,2,14
spring,no,yes,cloudy,10.66,13.635,60,8.9981,4.59511985013459,2012,2,14,3,10
spring,no,no,clear,18.86,22.725,41,19.9995,5.52545293913178,2011,3,13,1,14
fall,no,no,clear,30.34,33.335,48,15.0013,5.98393628068719,2011,7,16,7,11
winter,no,no,cloudy,14.76,16.665,46,26.0027,5.83188247728352,2012,11,3,7,11
winter,no,yes,cloudy,18.04,21.97,94,8.9981,2.94443897916644,2012,12,18,3,0
spring,no,yes,clear,19.68,23.485,82,7.0015,3.17805383034795,2012,3,19,2,0
fall,no,yes,clear,35.26,42.425,56,26.0027,5.48063892334199,2011,7,11,2,16
fall,no,yes,clear,30.34,34.85,66,16.9979,5.41610040220442,2012,7,18,4,16
fall,yes,no,clear,27.06,31.06,74,11.0014,3.73766961828337,2011,9,5,2,7
fall,no,yes,clear,36.08,38.635,32,15.0013,5.51342874616498,2012,8,9,5,14
fall,no,yes,cloudy,29.52,34.09,70,7.0015,3.71357206670431,2012,7,19,5,5
spring,no,yes,lightRainOrSnow,17.22,21.21,77,7.0015,4.36944785246702,2012,2,2,5,10
fall,no,yes,clear,27.06,30.305,83,15.0013,5.0998664278242,2012,8,3,6,6
fall,no,yes,cloudy,25.42,25.76,100,8.9981,4.06044301054642,2011,9,9,6,6
spring,no,no,clear,14.76,16.665,37,19.0012,4.21950770517611,2012,1,8,1,2
spring,no,yes,clear,15.58,19.695,40,15.0013,4.95582705760126,2012,2,6,2,13
fall,no,yes,clear,29.52,34.09,70,11.0014,2.63905732961526,2011,7,19,3,2
fall,no,no,clear,33.62,37.88,46,19.0012,5.93489419561959,2011,7,10,1,12
fall,no,yes,clear,28.7,33.335,74,16.9979,5.76205138278018,2011,7,11,2,7
winter,yes,no,cloudy,16.4,20.455,71,15.0013,4.24849524204936,2012,10,8,2,23
summer,no,yes,clear,30.34,33.335,48,19.9995,5.78382518232974,2012,6,14,5,15
winter,no,no,cloudy,13.12,16.665,61,6.0032,4.74493212836325,2011,12,3,7,22
summer,no,yes,clear,21.32,25,100,8.9981,4.62497281328427,2011,5,18,4,6
summer,no,yes,lightRainOrSnow,21.32,25,88,11.0014,6.19847871649231,2011,5,13,6,17
spring,no,no,clear,5.74,10.605,80,0,2.77258872223978,2011,2,12,7,2
spring,no,no,cloudy,17.22,21.21,94,6.0032,2.19722457733622,2012,3,17,7,5
summer,no,no,clear,27.06,31.06,74,7.0015,4.88280192258637,2011,6,11,7,23
summer,no,yes,clear,26.24,31.06,41,22.0028,4.77912349311153,2011,6,13,2,10
fall,no,yes,clear,31.98,34.85,40,12.998,5.62401750618734,2012,8,13,2,12
spring,no,no,clear,12.3,14.395,52,15.0013,4.24849524204936,2012,2,5,1,19
winter,no,yes,cloudy,17.22,21.21,94,7.0015,5.35658627467201,2011,11,10,5,9
fall,no,no,clear,32.8,36.365,46,19.9995,6.27664348934164,2012,8,11,7,16
winter,no,no,clear,14.76,16.665,46,26.0027,5.79605775076537,2012,11,3,7,10
fall,no,yes,clear,34.44,37.88,41,8.9981,6.27287700654617,2011,8,8,2,18
fall,yes,no,clear,29.52,34.85,74,12.998,5.92692602597041,2012,9,3,2,19
winter,no,yes,clear,13.94,16.665,76,12.998,5.54126354515843,2011,11,1,3,7
spring,no,yes,clear,7.38,9.85,55,8.9981,3.76120011569356,2011,1,5,4,22
summer,no,yes,clear,18.86,22.725,41,12.998,4.75359019110636,2011,5,5,5,23
fall,no,no,cloudy,28.7,33.335,84,16.9979,4.30406509320417,2011,8,7,1,1
fall,yes,no,clear,27.06,29.545,89,0,1.6094379124341,2012,9,3,2,5
fall,no,yes,clear,29.52,34.85,74,12.998,4.21950770517611,2012,8,9,5,0
fall,no,yes,clear,31.16,36.365,70,16.9979,5.31320597904179,2012,8,3,6,22
spring,no,no,cloudy,8.2,10.605,69,11.0014,1.09861228866811,2011,2,13,1,4
winter,no,no,clear,22.14,25.76,42,15.0013,6.4831073514572,2012,11,11,1,16
fall,no,yes,clear,27.06,31.06,57,15.0013,5.41164605185504,2011,7,15,6,22
fall,no,no,cloudy,21.32,25,68,12.998,5.85793315448346,2011,9,17,7,13
winter,no,yes,clear,22.96,26.515,94,8.9981,2.07944154167984,2011,10,14,6,3
winter,yes,no,clear,18.86,22.725,94,0,1.94591014905531,2011,10,10,2,4
fall,no,yes,clear,29.52,32.575,34,8.9981,5.32787616878958,2011,8,12,6,9
summer,no,no,cloudy,14.76,17.425,81,8.9981,5.31320597904179,2011,4,9,7,12
fall,no,yes,clear,28.7,31.82,28,8.9981,6.28599809450886,2012,9,11,3,16
fall,no,yes,clear,28.7,31.82,45,15.0013,5.97888576490112,2011,7,15,6,19
summer,no,yes,lightRainOrSnow,22.14,25.76,52,23.9994,6.15485809401642,2011,5,6,6,18
winter,no,no,cloudy,16.4,20.455,87,15.0013,6.18826412308259,2012,12,8,7,12
fall,no,yes,clear,35.26,37.12,30,15.0013,5.31811999384422,2011,8,2,3,13
fall,no,yes,clear,30.34,34.85,67,15.0013,5.31811999384422,2011,7,18,2,9
summer,no,yes,clear,26.24,31.06,38,32.9975,5.48063892334199,2012,6,4,2,11
fall,no,yes,clear,30.34,33.335,51,7.0015,4.63472898822964,2012,7,2,2,23
fall,no,yes,clear,30.34,33.335,51,15.0013,6.74405918631135,2012,8,15,4,18
fall,no,yes,clear,33.62,38.635,52,11.0014,4.83628190695148,2011,7,12,3,11
spring,no,no,cloudy,8.2,11.365,69,7.0015,2.56494935746154,2011,2,13,1,3
summer,no,no,clear,17.22,21.21,69,7.0015,4.0943445622221,2011,5,1,1,1
fall,no,yes,clear,22.14,25.76,77,0,6.3491389913798,2012,9,13,5,7
fall,no,yes,cloudy,28.7,33.335,74,12.998,2.484906649788,2012,7,16,2,1
summer,no,yes,clear,32.8,38.635,59,15.0013,6.13988455222626,2011,6,10,6,18
summer,no,yes,clear,13.94,15.91,76,15.0013,1.94591014905531,2011,4,7,5,5
winter,no,yes,clear,13.94,16.665,46,11.0014,5.99893656194668,2012,11,6,3,16
summer,no,no,clear,23.78,27.275,49,6.0032,5.83188247728352,2011,5,8,1,11
winter,no,yes,clear,16.4,20.455,50,26.0027,6.33327962813969,2012,12,19,4,17
fall,no,yes,clear,22.14,25.76,88,0,5.03043792139244,2012,9,14,6,6
fall,no,yes,cloudy,28.7,33.335,84,12.998,3.66356164612965,2012,9,6,5,5
fall,no,yes,cloudy,24.6,30.305,60,0,5.18178355029209,2011,9,19,2,13
winter,no,no,cloudy,16.4,20.455,82,19.9995,5.75574221358691,2012,12,9,1,12
winter,no,yes,clear,17.22,21.21,71,6.0032,6.61472560020376,2012,10,12,6,8
summer,no,no,clear,28.7,31.82,37,8.9981,6.55819780281227,2012,5,19,7,13
summer,no,yes,clear,28.7,31.82,37,0,5.42934562895444,2011,6,13,2,13
summer,no,yes,clear,22.14,25.76,28,15.0013,5.89164421182577,2011,5,5,5,19
spring,no,yes,clear,18.04,21.97,94,0,3.46573590279973,2012,3,19,2,5
spring,no,no,cloudy,9.84,12.12,75,11.0014,4.14313472639153,2012,2,5,1,8
winter,no,yes,cloudy,28.7,32.575,70,7.0015,5.88332238848828,2012,10,3,4,12
fall,no,no,clear,29.52,33.335,51,15.0013,5.6937321388027,2011,7,16,7,20
summer,no,no,lightRainOrSnow,12.3,14.395,100,16.9979,2.70805020110221,2011,4,9,7,3
spring,no,yes,clear,9.84,10.605,38,19.9995,4.11087386417331,2011,1,13,5,15
summer,no,yes,cloudy,13.12,15.91,87,12.998,2.30258509299405,2011,4,8,6,5
winter,no,yes,cloudy,21.32,25,77,11.0014,4.92725368515721,2011,10,18,3,22
spring,no,no,clear,16.4,20.455,40,12.998,5.79605775076537,2012,1,8,1,14
summer,no,yes,clear,27.06,31.06,65,12.998,6.28785856016178,2011,5,2,2,17
spring,yes,no,cloudy,7.38,9.09,43,12.998,1.79175946922805,2011,1,17,2,6
summer,no,yes,clear,28.7,31.82,34,15.0013,5.35658627467201,2011,6,15,4,12
summer,no,yes,cloudy,26.24,31.06,47,12.998,5.07517381523383,2011,6,14,3,14
spring,no,no,cloudy,17.22,21.21,100,19.0012,3.13549421592915,2011,3,6,1,9
winter,no,yes,cloudy,29.52,33.335,58,22.0028,5.68697535633982,2012,10,4,5,13
fall,no,yes,cloudy,27.06,30.305,83,11.0014,5.89715386763674,2012,7,9,2,9
fall,no,yes,clear,35.26,39.395,41,8.9981,5.42053499927229,2012,8,2,5,14
winter,no,yes,clear,19.68,23.485,67,16.9979,4.57471097850338,2012,12,4,3,23
spring,no,yes,clear,6.56,11.365,69,0,3.97029191355212,2011,1,14,6,21
summer,no,yes,clear,21.32,25,48,35.0008,5.54907608489522,2012,5,10,5,11
fall,no,no,clear,18.86,22.725,77,15.0013,4.38202663467388,2011,9,18,1,1
fall,no,yes,clear,26.24,29.545,78,8.9981,4.62497281328427,2011,8,5,6,6
spring,no,yes,cloudy,10.66,13.635,65,7.0015,3.13549421592915,2012,2,14,3,5
